loading policy + frozen prior...
config: {'steps': 5000, 'batch': 128, 'lr': 0.0001, 'max_len': 100, 'temp': 1.0, 'beta_kl': 0.02, 'target_kl': 3.0, 'beta_kl_min': 0.001, 'beta_kl_max': 20.0, 'kl_adapt_factor': 1.5, 'ppo_epochs': 4, 'clip_eps': 0.2, 'lambda_unc': 1.0, 'baseline_momentum': 0.95, 'threshold_window_batches': 20, 'threshold_percentile': 70.0, 'threshold_update_every': 50, 'threshold_init': 0.0, 'threshold_decay': 0.1, 'diversity_filter': True, 'df_bucket_size': 25, 'df_mode': 'generic', 'df_record_threshold': 0.5, 'replay': False, 'replay_capacity': 1000, 'replay_max_per_scaffold': 10, 'replay_min_reward': 0.4, 'replay_k': 24, 'replay_coef': 0.05, 'replay_start': 200, 'log_every': 10, 'save_every': 200, 'out': 'checkpoints/rl_v4a', 'seed': 42}
reward model scheme=A_primary threshold=8.0 lambda_unc=1.0 invalid_reward=-1.0

  step      loss   reward    tau   p_act    unc      kl   beta  valid%  uniq% scaf/uniq  >tau% AD%(top)  dfmult  sat    sec
  3190    0.0540   -0.111 -0.089   0.083  0.194   3.127  0.058   100.0  100.0     0.688   26.6     91.7   0.933   77   1.29
  3200   -0.0352   -0.152 -0.091   0.064  0.216   1.782  0.038   100.0  100.0     0.805   10.9    100.0   0.950   78   1.31
      saved checkpoint @ step 3200 | examples: ['Nc1nc(N)c2cc(Cc3ccccc3)cnc2n1', 'CC(=O)N1CCN(c2ccccc2)CC1', 'c1ccc(-c2nnc3ccccc3c2-c2ccc3c(c2)OCO3)cc1', 'Cc1ccc(C)c(NC(=O)c2ccc(OCc3ccccc3F)cc2)c1', 'Cc1ccc(Nc2nc3ccccc3nc2C(=O)O)cc1']
  3210   -0.0426   -0.133 -0.091   0.075  0.208   2.253  0.026   100.0  100.0     0.820   21.9    100.0   0.940   78   1.40
  3220   -0.0413   -0.132 -0.091   0.072  0.204   2.304  0.017   100.0  100.0     0.734   20.3    100.0   0.926   78   1.32
  3230   -0.0228   -0.131 -0.091   0.072  0.203   2.547  0.017   100.0  100.0     0.750   20.3     91.7   0.953   78   1.40
  3240   -0.0043   -0.121 -0.091   0.103  0.209   3.107  0.017    98.4   99.2     0.712   25.0    100.0   0.910   79   1.32
  3250   -0.0196   -0.092 -0.091   0.107  0.200   3.527  0.017   100.0   99.2     0.598   35.9    100.0   0.887   81   1.26
  3260   -0.0253   -0.051 -0.091   0.167  0.218   4.202  0.017   100.0   99.2     0.685   43.8    100.0   0.802   81   1.32
  3270    0.2376   -0.037 -0.091   0.205  0.242   4.800  0.086   100.0   98.4     0.651   46.9    100.0   0.791   82   1.28
  3280    0.0680   -0.114 -0.091   0.097  0.211   2.782  0.086   100.0  100.0     0.750   21.1     75.0   0.946   82   1.44
  3290   -0.0805   -0.160 -0.091   0.078  0.230   1.892  0.026    99.2  100.0     0.835    8.6     91.7   0.963   82   1.45
  3300   -0.0762   -0.144 -0.096   0.065  0.209   2.140  0.017   100.0  100.0     0.781   14.8     66.7   0.977   82   1.36
  3310   -0.0704   -0.114 -0.096   0.103  0.209   2.884  0.011    99.2  100.0     0.787   26.6     83.3   0.913   82   1.32
  3320   -0.0483   -0.094 -0.096   0.134  0.229   3.043  0.011   100.0   96.9     0.726   32.8    100.0   0.856   82   1.28
  3330   -0.0251   -0.095 -0.096   0.111  0.206   3.552  0.011   100.0   98.4     0.690   31.2    100.0   0.882   83   1.29
  3340    0.0226   -0.060 -0.096   0.177  0.237   4.325  0.026   100.0   98.4     0.714   43.0     91.7   0.834   83   1.38
  3350    0.1027   -0.140 -0.060   0.064  0.196   2.409  0.086    99.2  100.0     0.677   10.9     91.7   0.964   83   1.37
  3360   -0.0195   -0.143 -0.060   0.081  0.225   2.183  0.038   100.0  100.0     0.891    9.4    100.0   0.963   84   1.42
  3370   -0.0548   -0.147 -0.060   0.087  0.211   2.706  0.008    97.7   99.2     0.815   10.2     91.7   0.956   84   1.41
  3380   -0.0427   -0.128 -0.060   0.085  0.205   2.536  0.008    99.2  100.0     0.811   10.9     91.7   0.930   84   1.27
  3390   -0.0494   -0.083 -0.060   0.143  0.227   3.416  0.008   100.0   99.2     0.654   28.9    100.0   0.840   84   1.23
  3400   -0.0092   -0.039 -0.062   0.216  0.255   4.577  0.017   100.0   97.7     0.632   38.3     91.7   0.739   86   1.28
      saved checkpoint @ step 3400 | examples: ['O=C(NCCc1ccc(O)cc1)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1', 'O=C(/C=C/c1ccc2c(c1)OCO2)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1', 'CC(C)NC(=O)Nc1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1', 'Cc1ccc(S(=O)(=O)CC(=O)O)cc1', 'COCC#Cc1ccccc1N']
  3410    0.0732   -0.082 -0.062   0.152  0.235   3.435  0.058   100.0   97.7     0.680   21.9     91.7   0.819   87   1.35
  3420   -0.0241   -0.144 -0.062   0.064  0.207   1.903  0.038   100.0   99.2     0.811   10.2     83.3   0.964   88   1.25
  3430    0.0106   -0.145 -0.062   0.086  0.207   2.484  0.038    97.7  100.0     0.816   12.5     91.7   0.929   89   1.28
  3440   -0.0052   -0.146 -0.062   0.072  0.210   2.112  0.038    99.2  100.0     0.780    9.4    100.0   0.953   89   1.31
  3450   -0.0319   -0.134 -0.069   0.084  0.218   2.136  0.026   100.0  100.0     0.734   12.5    100.0   0.918   89   1.21
  3460   -0.0177   -0.121 -0.069   0.109  0.222   2.587  0.026    99.2  100.0     0.780   17.2    100.0   0.905   89   1.34
  3470   -0.0440   -0.092 -0.069   0.125  0.218   2.703  0.017   100.0  100.0     0.758   16.4    100.0   0.907   89   1.37
  3480   -0.0267   -0.083 -0.069   0.160  0.236   3.549  0.017    99.2   99.2     0.722   25.8     83.3   0.836   92   1.23
  3490   -0.0172   -0.044 -0.069   0.189  0.233   3.933  0.017   100.0   99.2     0.748   28.9     83.3   0.776   93   1.33
  3500    0.2889   -0.060 -0.069   0.158  0.211   3.909  0.130    99.2   99.2     0.738   28.1     66.7   0.884   93   1.23
  3510   -0.0180   -0.132 -0.069   0.102  0.234   2.009  0.086   100.0  100.0     0.797    8.6     91.7   0.963   94   1.25
  3520   -0.1224   -0.146 -0.069   0.083  0.222   2.161  0.008    99.2  100.0     0.835    9.4     91.7   0.954   94   1.22
  3530   -0.0905   -0.131 -0.069   0.094  0.226   2.251  0.001   100.0  100.0     0.844   10.2     91.7   0.944   94   1.23
  3540   -0.0678   -0.106 -0.069   0.123  0.229   3.309  0.001   100.0   99.2     0.740   20.3    100.0   0.863   94   1.25
  3550   -0.0545   -0.072 -0.071   0.190  0.254   4.551  0.003    99.2   93.7     0.689   43.8    100.0   0.761   94   1.26
  3560    0.3474   -0.069 -0.071   0.169  0.230   4.344  0.130    99.2   96.1     0.697   42.2     91.7   0.784   94   1.23
  3570   -0.0403   -0.158 -0.071   0.069  0.211   2.100  0.058    98.4  100.0     0.770    6.2     91.7   0.954   94   1.29
  3580   -0.1097   -0.138 -0.071   0.091  0.229   2.212  0.008   100.0  100.0     0.836   10.9     83.3   0.939   94   1.25
  3590   -0.0834   -0.112 -0.071   0.121  0.233   2.615  0.005   100.0   99.2     0.787   20.3    100.0   0.862   95   1.34
  3600   -0.0638   -0.091 -0.076   0.135  0.226   3.352  0.005   100.0   97.7     0.720   26.6    100.0   0.828   96   1.23
      saved checkpoint @ step 3600 | examples: ['O=C(COc1ccccc1)NC1COC1', 'CN(C)C(=S)SCc1ccccc1', 'Cc1cc(O)cc(C)c1C(C)C(=O)NCc1ccc(F)cc1', 'O=[N+]([O-])c1ccc(CSc2nnc(-c3cccs3)o2)cc1', 'CS(=O)(=O)Nc1cc(-c2ccccc2)nc2ccccc12']
  3610   -0.0252   -0.077 -0.076   0.146  0.223   3.968  0.011   100.0   96.9     0.710   32.0    100.0   0.835   97   1.35
  3620    0.0748   -0.061 -0.076   0.196  0.256   4.430  0.038   100.0   94.5     0.711   38.3    100.0   0.721   98   1.35
  3630    0.0381   -0.109 -0.076   0.118  0.227   2.649  0.058   100.0  100.0     0.711   20.3    100.0   0.861   99   1.25
  3640   -0.0212   -0.139 -0.076   0.076  0.215   2.110  0.038   100.0  100.0     0.727   10.9    100.0   0.944  101   1.26
  3650   -0.0651   -0.140 -0.081   0.073  0.206   2.205  0.008    99.2  100.0     0.732   13.3     91.7   0.931  101   1.23
  3660   -0.0652   -0.087 -0.081   0.138  0.225   3.272  0.008   100.0   99.2     0.654   30.5     91.7   0.796  102   1.21
  3670   -0.0418   -0.085 -0.081   0.141  0.226   3.610  0.008   100.0   96.1     0.675   33.6    100.0   0.809  102   1.23
  3680    0.0983   -0.054 -0.081   0.194  0.248   4.900  0.038   100.0   95.3     0.631   47.7    100.0   0.741  103   1.27
  3690    0.0710   -0.094 -0.081   0.139  0.232   3.468  0.058   100.0  100.0     0.680   31.2    100.0   0.826  103   1.24
  3700    0.0055   -0.138 -0.082   0.067  0.205   2.115  0.058   100.0   99.2     0.819   15.6    100.0   0.930  104   1.18
  3710   -0.0632   -0.136 -0.082   0.082  0.218   2.045  0.011   100.0   98.4     0.762   14.1     91.7   0.916  105   1.20
  3720   -0.0441   -0.114 -0.082   0.116  0.230   2.846  0.011   100.0  100.0     0.812   24.2    100.0   0.866  105   1.27
  3730   -0.0314   -0.105 -0.082   0.090  0.195   3.169  0.011   100.0   97.7     0.696   28.9    100.0   0.873  105   1.21
  3740   -0.0240   -0.082 -0.082   0.150  0.232   3.622  0.011   100.0   98.4     0.690   34.4    100.0   0.788  106   1.23
  3750    0.1145   -0.031 -0.054   0.243  0.274   4.948  0.038   100.0   96.1     0.602   42.2    100.0   0.660  108   1.26
  3760    0.0855   -0.120 -0.054   0.102  0.221   2.507  0.086   100.0  100.0     0.766   16.4     91.7   0.918  108   1.25
  3770   -0.0382   -0.156 -0.054   0.065  0.222   1.820  0.038   100.0  100.0     0.875    1.6     75.0   0.975  108   1.22
  3780   -0.0852   -0.131 -0.054   0.083  0.214   2.091  0.005   100.0  100.0     0.805   13.3    100.0   0.940  108   1.23
  3790   -0.0632   -0.109 -0.054   0.097  0.205   3.108  0.005   100.0  100.0     0.703   17.2    100.0   0.872  108   1.27
  3800   -0.0562   -0.085 -0.058   0.118  0.203   3.611  0.005   100.0   96.9     0.661   25.8    100.0   0.831  108   1.18
      saved checkpoint @ step 3800 | examples: ['Nc1ccccc1NC(=O)c1ccc(CN2CCc3ccccc3C2)cc1', 'CC(C)(C)c1ccc(N)cc1', 'O=C(O)COc1ccc2ccccc2c1', 'C=CC(C)(C)C(C)=O', 'CC(C)CCCN1CCC(=O)NC1=O']
  3810    0.0430   -0.046 -0.058   0.178  0.224   4.923  0.026   100.0   93.8     0.533   41.4    100.0   0.725  109   1.20
  3820    0.1516   -0.090 -0.058   0.120  0.210   3.636  0.086   100.0  100.0     0.656   23.4    100.0   0.808  110   1.28
  3830   -0.0030   -0.140 -0.058   0.077  0.209   2.182  0.058    99.2   99.2     0.841    8.6     91.7   0.933  110   1.28
  3840   -0.0930   -0.131 -0.058   0.065  0.196   2.336  0.008   100.0  100.0     0.781    8.6     91.7   0.936  110   1.22
  3850   -0.0559   -0.136 -0.065   0.072  0.200   2.557  0.008    99.2  100.0     0.756   14.8     91.7   0.917  112   1.21
  3860   -0.0468   -0.107 -0.065   0.082  0.189   3.101  0.008   100.0  100.0     0.664   21.1    100.0   0.905  112   1.20
  3870   -0.0268   -0.063 -0.065   0.157  0.212   4.516  0.011    99.2   99.2     0.603   39.8    100.0   0.784  112   1.36
  3880    0.0725   -0.060 -0.065   0.153  0.213   4.548  0.038   100.0   97.7     0.648   43.8    100.0   0.782  112   1.24
  3890    0.0212   -0.102 -0.065   0.091  0.193   2.993  0.038   100.0  100.0     0.609   25.8    100.0   0.887  114   1.24
  3900   -0.0019   -0.111 -0.066   0.087  0.197   2.550  0.038   100.0  100.0     0.703   19.5     91.7   0.926  114   1.23
  3910    0.0059   -0.135 -0.066   0.097  0.225   2.391  0.038    99.2   99.2     0.841   14.1    100.0   0.927  114   1.38
  3920   -0.0336   -0.130 -0.066   0.071  0.201   2.059  0.026   100.0  100.0     0.750   11.7    100.0   0.933  114   1.28
  3930   -0.0227   -0.119 -0.066   0.095  0.214   2.452  0.026   100.0  100.0     0.820   18.8     91.7   0.928  114   1.29
  3940   -0.0105   -0.126 -0.066   0.083  0.210   2.562  0.026   100.0  100.0     0.789   14.1    100.0   0.900  115   1.23
  3950   -0.0126   -0.108 -0.071   0.101  0.209   2.951  0.026   100.0   98.4     0.762   21.1    100.0   0.876  116   1.26
  3960   -0.0100   -0.120 -0.071   0.085  0.206   2.606  0.026   100.0   99.2     0.740   18.8    100.0   0.885  116   1.21
  3970   -0.0088   -0.106 -0.071   0.117  0.223   2.740  0.026   100.0   99.2     0.693   23.4    100.0   0.868  116   1.22
  3980    0.0087   -0.125 -0.071   0.117  0.226   2.811  0.026    98.4   98.4     0.734   20.3     91.7   0.871  117   1.21
  3990   -0.0062   -0.107 -0.071   0.093  0.200   2.954  0.026   100.0  100.0     0.711   22.7    100.0   0.904  118   1.27
  4000   -0.0088   -0.095 -0.073   0.139  0.235   2.825  0.026   100.0   99.2     0.717   25.0    100.0   0.823  119   1.25
      saved checkpoint @ step 4000 | examples: ['CC(=O)NC(=S)NNC(=N)c1ccccc1', 'CCC(=O)NC1CCC(c2ccccc2)CC1', 'CN(c1ncccn1)C1CCN(CC(F)(F)F)CC1', 'O=C(NCCc1ccc(S(=O)(=O)N2CCCC2)cc1)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1', 'O=C(O)c1cc(CCc2ccccc2)n[nH]1']
  4010   -0.0027   -0.108 -0.073   0.120  0.221   2.612  0.026    99.2   99.2     0.817   22.7    100.0   0.898  119   1.26
  4020   -0.0009   -0.100 -0.073   0.123  0.215   2.901  0.026    99.2  100.0     0.740   25.0    100.0   0.851  121   1.25
  4030   -0.0034   -0.100 -0.073   0.142  0.235   2.737  0.026    99.2   99.2     0.746   24.2    100.0   0.829  122   1.41
  4040   -0.0012   -0.111 -0.073   0.096  0.207   2.910  0.026   100.0  100.0     0.719   25.0    100.0   0.878  122   1.24
  4050   -0.0138   -0.109 -0.075   0.089  0.197   2.517  0.026   100.0  100.0     0.750   21.9    100.0   0.899  122   1.30
  4060   -0.0039   -0.113 -0.075   0.093  0.206   2.647  0.026   100.0   99.2     0.787   19.5    100.0   0.859  123   1.24
  4070    0.0050   -0.124 -0.075   0.077  0.193   2.843  0.026    99.2   98.4     0.760   25.8    100.0   0.923  123   1.25
  4080   -0.0097   -0.076 -0.075   0.162  0.237   3.396  0.026   100.0   99.2     0.685   35.9    100.0   0.805  124   1.22
  4090   -0.0098   -0.089 -0.075   0.137  0.226   2.981  0.026   100.0   99.2     0.685   32.8    100.0   0.808  124   1.22
  4100    0.0013   -0.095 -0.076   0.128  0.215   3.429  0.026    99.2  100.0     0.724   32.0    100.0   0.850  124   1.26
  4110   -0.0063   -0.087 -0.076   0.127  0.214   3.196  0.026   100.0  100.0     0.711   32.8    100.0   0.844  125   1.25
  4120    0.0014   -0.104 -0.076   0.132  0.228   3.103  0.026    99.2   99.2     0.738   26.6    100.0   0.836  125   1.24
  4130   -0.0063   -0.103 -0.076   0.128  0.224   2.854  0.026    99.2   99.2     0.683   28.1    100.0   0.830  125   1.20
  4140    0.0148   -0.085 -0.076   0.161  0.230   4.117  0.026    98.4  100.0     0.659   36.7     91.7   0.769  125   1.27
  4150    0.0022   -0.109 -0.071   0.122  0.223   2.787  0.026    99.2  100.0     0.740   26.6    100.0   0.827  125   1.22
  4160    0.0016   -0.104 -0.071   0.131  0.227   2.908  0.026    99.2  100.0     0.693   22.7    100.0   0.802  125   1.26
  4170   -0.0014   -0.084 -0.071   0.153  0.237   3.567  0.026   100.0  100.0     0.758   27.3    100.0   0.822  125   1.36
  4180   -0.0056   -0.078 -0.071   0.167  0.245   3.517  0.026   100.0  100.0     0.758   32.0     91.7   0.778  126   1.37
  4190   -0.0013   -0.082 -0.071   0.142  0.224   3.443  0.026   100.0   98.4     0.690   30.5    100.0   0.812  126   1.29
  4200    0.0002   -0.077 -0.071   0.176  0.253   3.597  0.026   100.0   98.4     0.746   31.2     91.7   0.746  127   1.26
      saved checkpoint @ step 4200 | examples: ['CCc1ccc(N2C(=O)c3ccccc3C2=O)cc1', 'O=C(NNS(=O)(=O)Cc1ccccc1)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1', 'CN(C(=O)c1ccco1)C(C(=O)Nc1ccc(F)cc1N1CCOCC1)c1cccc(F)c1', 'CCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)C', 'O=C(NCc1ccc(Cl)cc1)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1']
  4210    0.0004   -0.098 -0.071   0.133  0.231   3.158  0.026   100.0   96.9     0.790   31.2    100.0   0.838  128   1.31
  4220    0.0006   -0.092 -0.071   0.119  0.203   3.048  0.026    99.2   99.2     0.722   24.2    100.0   0.824  129   1.33
  4230    0.0004   -0.079 -0.071   0.167  0.239   3.404  0.026    99.2   98.4     0.696   31.2     91.7   0.759  130   1.23
  4240   -0.0062   -0.083 -0.071   0.152  0.235   3.243  0.026   100.0   99.2     0.764   28.9    100.0   0.778  130   1.29
  4250    0.0045   -0.109 -0.071   0.130  0.232   2.950  0.026    99.2  100.0     0.693   21.9    100.0   0.800  131   1.27
  4260    0.0023   -0.106 -0.071   0.113  0.212   2.984  0.026    99.2  100.0     0.685   29.7    100.0   0.805  132   1.36
  4270   -0.0019   -0.080 -0.071   0.160  0.240   3.366  0.026   100.0   98.4     0.714   29.7    100.0   0.784  132   1.27
  4280   -0.0045   -0.099 -0.071   0.133  0.232   2.907  0.026   100.0   99.2     0.717   25.8    100.0   0.805  132   1.25
  4290   -0.0047   -0.086 -0.071   0.142  0.228   3.160  0.026   100.0   99.2     0.701   30.5    100.0   0.787  133   1.20
  4300    0.0133   -0.087 -0.059   0.138  0.217   3.460  0.026    99.2  100.0     0.661   32.0    100.0   0.789  134   1.19
  4310    0.0151   -0.096 -0.059   0.137  0.217   3.480  0.026    98.4   97.6     0.756   26.6    100.0   0.804  134   1.22
  4320   -0.0005   -0.086 -0.059   0.139  0.225   3.306  0.026   100.0   99.2     0.693   27.3    100.0   0.780  134   1.24
  4330   -0.0082   -0.094 -0.059   0.121  0.215   2.870  0.026   100.0  100.0     0.641   24.2    100.0   0.786  134   1.31
  4340   -0.0020   -0.099 -0.059   0.136  0.236   2.690  0.026   100.0  100.0     0.742   22.7    100.0   0.754  134   1.21
  4350   -0.0021   -0.110 -0.060   0.109  0.219   2.738  0.026   100.0  100.0     0.727   21.1    100.0   0.818  135   1.24
  4360   -0.0043   -0.074 -0.060   0.145  0.220   3.456  0.026   100.0  100.0     0.672   36.7    100.0   0.790  135   1.33
  4370    0.0022   -0.087 -0.060   0.157  0.236   3.381  0.026    99.2   99.2     0.690   30.5    100.0   0.760  136   1.25
  4380   -0.0029   -0.089 -0.060   0.129  0.218   3.243  0.026   100.0  100.0     0.703   26.6     91.7   0.784  137   1.27
  4390   -0.0026   -0.089 -0.060   0.133  0.214   3.398  0.026    99.2   99.2     0.627   29.7    100.0   0.760  137   1.26
  4400   -0.0030   -0.074 -0.059   0.174  0.248   3.411  0.026   100.0  100.0     0.727   28.1    100.0   0.771  138   1.25
      saved checkpoint @ step 4400 | examples: ['O=C1N(Cc2ccccc2[N+](=O)[O-])C/C(=C\\c2ccc(Cl)cc2)CN1c1ccccn1', 'O=C(Cc1ccccc1)Nc1ccc(OCc2ccccc2)cc1', 'O=C(Nc1nnc(C2CC2)s1)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1', 'O=C(Nc1cccc2cccnc12)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1', 'O=c1c2ccc(O)cc2oc2ccc3ccccc3c12']
  4410   -0.0018   -0.099 -0.059   0.127  0.218   3.013  0.026    99.2   97.6     0.758   25.8    100.0   0.815  138   1.23
  4420   -0.0105   -0.081 -0.059   0.153  0.234   3.270  0.026   100.0   99.2     0.677   28.1    100.0   0.790  138   1.23
  4430   -0.0059   -0.095 -0.059   0.131  0.225   2.871  0.026   100.0   99.2     0.740   23.4    100.0   0.824  139   1.23
  4440   -0.0023   -0.086 -0.059   0.121  0.207   3.302  0.026   100.0   99.2     0.732   25.0    100.0   0.823  140   1.23
  4450    0.0045   -0.106 -0.059   0.105  0.203   2.953  0.026    99.2   99.2     0.714   24.2    100.0   0.839  141   1.25
  4460   -0.0134   -0.051 -0.059   0.181  0.232   4.037  0.026   100.0   98.4     0.746   30.5     83.3   0.827  142   1.31
  4470    0.0264   -0.039 -0.059   0.178  0.217   4.401  0.038   100.0   99.2     0.732   31.2     75.0   0.826  144   1.32
  4480    0.0194   -0.075 -0.059   0.148  0.223   3.054  0.058   100.0   99.2     0.795   16.4     66.7   0.851  144   1.32
  4490   -0.0241   -0.135 -0.059   0.098  0.233   2.030  0.038   100.0   99.2     0.898    6.2     83.3   0.917  144   1.27
  4500   -0.0212   -0.125 -0.066   0.101  0.211   2.169  0.038    98.4  100.0     0.810   13.3     83.3   0.885  144   1.34
  4510   -0.0529   -0.110 -0.066   0.115  0.209   2.533  0.026    98.4  100.0     0.849   15.6     50.0   0.894  144   1.25
  4520   -0.0456   -0.037 -0.066   0.176  0.213   4.066  0.026   100.0   98.4     0.810   23.4     66.7   0.891  144   1.32
  4530    0.1400   -0.111 -0.066   0.107  0.210   2.571  0.130    99.2  100.0     0.827   15.6     83.3   0.920  146   1.26
  4540   -0.1084   -0.159 -0.066   0.073  0.225   1.971  0.011    99.2  100.0     0.874    4.7     91.7   0.915  146   1.24
  4550   -0.0981   -0.146 -0.074   0.056  0.202   2.022  0.001   100.0  100.0     0.859    7.0     91.7   0.942  146   1.22
  4560   -0.0740   -0.121 -0.074   0.070  0.175   3.244  0.001    98.4   97.6     0.740   28.1     91.7   0.873  146   1.15
  4570   -0.0716   -0.080 -0.074   0.084  0.164   4.369  0.001   100.0   94.5     0.537   35.2    100.0   0.815  146   1.16
  4580    0.0203   -0.065 -0.074   0.097  0.162   5.469  0.017   100.0   93.0     0.529   46.1    100.0   0.788  146   1.19
  4590    0.2350   -0.143 -0.074   0.065  0.208   2.742  0.195   100.0  100.0     0.750    7.8     83.3   0.893  146   1.24
  4600   -0.0189   -0.164 -0.077   0.060  0.216   2.215  0.130    99.2   99.2     0.833    6.2    100.0   0.965  146   1.22
      saved checkpoint @ step 4600 | examples: ['CCCCc1ccc(Cl)c(C(=O)c2ccccc2)c1', 'CN(C)C1CCc2c(c3ccc(O)cc3n2CC(=O)C(F)(F)F)C1', 'c1ccc(-c2cc(NCCN3CCCCC3)c3ccccc3n2)cc1', 'COc1ccc(Oc2nc(NCc3ccccc3)ncc2C(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1', 'CCCc1ccc(C(=O)C(Cl)Cl)cc1']
  4610   -0.2187   -0.152 -0.077   0.060  0.212   1.850  0.003   100.0  100.0     0.844    3.9     83.3   0.945  146   1.24
  4620   -0.1312   -0.146 -0.077   0.063  0.209   2.241  0.001   100.0  100.0     0.812    8.6    100.0   0.911  146   1.22
  4630   -0.0759   -0.144 -0.077   0.049  0.193   2.462  0.001   100.0  100.0     0.734    9.4    100.0   0.907  146   1.18
  4640   -0.0598   -0.126 -0.077   0.043  0.169   3.361  0.001   100.0  100.0     0.672   18.0    100.0   0.913  146   1.18
  4650   -0.0407   -0.121 -0.080   0.038  0.151   3.630  0.001    99.2   99.2     0.651   22.7     91.7   0.883  146   1.14
  4660   -0.0544   -0.085 -0.080   0.033  0.118   4.806  0.002   100.0   95.3     0.533   45.3     91.7   0.899  147   1.21
  4670    0.2229   -0.068 -0.080   0.060  0.128   5.599  0.058   100.0   89.8     0.409   46.9    100.0   0.867  147   1.13
  4680    0.2025   -0.135 -0.080   0.054  0.181   2.745  0.195    99.2   99.2     0.730   17.2     83.3   0.902  148   1.15
  4690   -0.1171   -0.160 -0.080   0.053  0.213   2.151  0.086   100.0  100.0     0.875    2.3     75.0   0.974  148   1.22
  4700   -0.2082   -0.157 -0.086   0.063  0.220   2.190  0.005   100.0  100.0     0.805    9.4     91.7   0.927  148   1.24
  4710   -0.1265   -0.150 -0.086   0.050  0.200   2.375  0.005   100.0   99.2     0.835    8.6     91.7   0.933  148   1.23
  4720   -0.0768   -0.141 -0.086   0.048  0.189   2.910  0.005   100.0   99.2     0.756   15.6    100.0   0.877  148   1.20
  4730   -0.0420   -0.136 -0.086   0.044  0.172   3.627  0.005    99.2   98.4     0.728   18.0     91.7   0.881  148   1.12
  4740   -0.0396   -0.109 -0.086   0.042  0.151   3.934  0.005   100.0   93.8     0.608   28.9    100.0   0.879  148   1.19
  4750   -0.0184   -0.113 -0.087   0.027  0.140   4.005  0.008   100.0   98.4     0.611   26.6     91.7   0.911  148   1.13
  4760    0.0538   -0.112 -0.087   0.034  0.146   3.626  0.038   100.0   99.2     0.614   28.1     91.7   0.944  148   1.14
  4770    0.0317   -0.124 -0.087   0.045  0.169   3.278  0.038   100.0  100.0     0.672   21.9    100.0   0.917  148   1.19
  4780   -0.0045   -0.121 -0.087   0.050  0.171   2.613  0.038   100.0  100.0     0.688   21.1    100.0   0.925  148   1.19
  4790   -0.0002   -0.140 -0.087   0.051  0.184   2.360  0.038    99.2  100.0     0.772   15.6     91.7   0.941  148   1.20
  4800   -0.0368   -0.146 -0.091   0.057  0.203   2.020  0.026   100.0  100.0     0.773   16.4    100.0   0.927  148   1.25
      saved checkpoint @ step 4800 | examples: ['CCN(CC)Cc1ccc(OC)c(O)c1', 'COc1cccc(-c2cn3ccccc3n2)c1', 'O=C(CCl)NCCc1ccccc1', 'COc1ccc(C(=O)N2CCC3(CC2)CN(C)[C@H]3CO)cc1', 'Cc1ccc(-c2nc(-c3ccccc3)[nH]c2-c2ccccc2)cc1']
  4810   -0.0223   -0.143 -0.091   0.046  0.181   2.297  0.026    99.2  100.0     0.748   15.6     83.3   0.947  148   1.23
  4820   -0.0172   -0.139 -0.091   0.044  0.183   2.279  0.026   100.0  100.0     0.711   21.1    100.0   0.929  148   1.27
  4830   -0.0130   -0.138 -0.091   0.054  0.192   2.247  0.026   100.0  100.0     0.711   18.8     91.7   0.920  148   1.20
  4840   -0.0226   -0.141 -0.091   0.044  0.185   2.309  0.017   100.0  100.0     0.688   14.8    100.0   0.910  148   1.17
  4850   -0.0338   -0.131 -0.094   0.046  0.177   2.632  0.011   100.0  100.0     0.656   14.8     91.7   0.939  148   1.21
  4860   -0.0141   -0.135 -0.094   0.037  0.164   2.989  0.011    99.2  100.0     0.630   25.0    100.0   0.934  148   1.14
  4870   -0.0245   -0.106 -0.094   0.050  0.155   3.365  0.011   100.0   97.7     0.664   33.6     75.0   0.903  148   1.21
  4880   -0.0091   -0.113 -0.094   0.029  0.143   3.603  0.011   100.0   96.1     0.618   32.8     91.7   0.929  148   1.22
  4890   -0.0079   -0.105 -0.094   0.027  0.133   3.814  0.011   100.0   96.1     0.472   41.4     91.7   0.895  148   1.16
  4900    0.0637   -0.084 -0.071   0.031  0.115   4.389  0.026   100.0   90.6     0.543   39.8     91.7   0.899  148   1.17
  4910    0.0696   -0.115 -0.071   0.057  0.172   3.048  0.058   100.0   98.4     0.690   15.6     75.0   0.933  149   1.38
  4920    0.0232   -0.146 -0.071   0.056  0.202   2.085  0.058   100.0  100.0     0.758    6.2     91.7   0.929  149   1.25
